,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
0,aktivitetspaket,,,,,,"
FVM upphandling",,,,,paket av hälso- och sjukvårdaktiviteter,,Klar,2017-10-27,"Bilaga 1
FVM upphandling",,Inhämtad från bilaga 1 2017-10-24,,
1,aktivt val,,,,,"För att få ta del av ospärrade uppgifter hos en annan vårdenhet eller vårdprocess krävs att användaren gör ett aktivt val. Det innebär att användaren först ska bedöma om uppgifterna är nödvändiga för att han eller hon ska kunna fullgöra sina arbetsuppgifter. Därefter ska användaren göra ett aktivt val i journalsystemet för att bekräfta bedömningen. Det aktiva valet ska
loggas för att dokumentera bedömningen.","T&A
FVM upphandling",,,,,särskild åtgärd för att få tillgång till del av patientjournal som inte visas när den öppnas efter sökning ,,Klar,,,,,,
2,algoritm,,,,,"en begränsad uppsättning väldefinierade instruktioner för att lösa en uppgift, utifrån ett givet starttillstånd, inom ett ändligt antal steg. ELLER: en systematisk procedur för hur man genom ett begränsat antal steg utför en beräkning eller löser ett problem. Jämförs ofta med (mat-)recept.. Innehåller ibland iterationer, ofta val enligt specificerade regler.... ","Std
FVM upphandling",Anders T,,,,systematisk procedur för hur man genom ett begränsat antal steg utför en beräkning eller löser ett problem,,Klar,2018-02-06,Wikipedia,,,,
3,användare,,,,,,"Std
FVM upphandling",,,,,person som använder IT-tjänst (Lösningen),,Klar,2017-09-19,Rikstermbanken,,"171009: Avser användare av Lösningen.(Kommentar: slutanvändare är uttryckligen avrådd term.)
",,
4,användargränssnitt,,,,,,"Std
FVM upphandling",,,,,gränsen mellan användare och dator där formerna för kommunikation är noga specificerade,,Klar,2017-10-11,"Rikstermbanken/ Institutet för infologi, Rune Pettersson: Informationsdesign från a till ö | 2008",,,,
5,användarstöd,,,,,"Stöd till användaren för applikationsrelaterade ""hur gör jag""-frågor.
Avser såväl reaktiva som proaktiva åtgärder i syfte att stödja användare och öka deras kunskap om förvaltningsobjekt. Syftet är att vidmakthålla och vidareutveckla användares kunskap om förvaltningsobjekt.","Förv
FVM upphandling",,,,,"funktion, inom eller utanför Lösningen, för att hjälpa Användaren med lösningsrelaterade frågor i syfte att använda Lösningen på ett optimalt sätt",,Klar,2017-10-09,#NAMN?,,Inhämtad från bilaga 1 2017-10-24,,
6,användarsupport,,,,,Innefattar IT-support samt användarstöd,"Förv
FVM upphandling",,,,,verksamhet för att stödja användare,,Klar,2017-11-06,"dP Std
FVM upphandling",,"2017-05-30, Perha11:
kan avse både användning av applikationer och tekniskt användarstöd
Beskrivning i lista C: avser den support och de supportaktiviteter Leverantören ska tillhandahålla Kunden och Kommunerna i enlighet med Avtalet och som närmare beskrivs i Bilaga 8, Underhåll och support.
2017-11-06: Termen support förekommer i två betydelser i kravdokumentet och byts därför till specialiseringarna användarsupport och kundsupport.",,
7,applikation,,,,,,"
FVM upphandling",,,,,mjukvara med funktioner som krävs av en IT-tjänst,,Klar,2017-10-09,"Rikstermbanken
Profecto service management: ITIL ordlista och förkortningar | 2011",,Inhämtad från bilaga 1 2017-10-24,,
8,arketyp (informationsteknologi),,,,,,"Std
FVM upphandling",,,,,"Informationsspecifikation som är överenskommen, formell och interoperabel och som representerar ett specifikt område.


",,Klar,,"dp Std
FVM upphandling",,,,
9,ATC-kod,,,,,,"VoB
FVM upphandling",,,,,klassifikationskod för gruppering av läkemedel i fem nivåer ,,Klar,,"Se A-listan
FVM upphandling",,"""Anatomical Therapeutic Chemical classification system"" ",,
